t,x,y
3.520311111,116.2633634,99.77571121
3.554166667,116.3773198,96.43963946
3.588011111,116.3544354,94.76853949
3.621855556,116.399227,95.04677154
3.655711111,116.3005447,96.99863277
3.689555556,116.3870231,100.6250984
3.723411111,116.491232,105.4908481
3.757255556,116.4884029,111.0812937
3.791111111,116.4973178,117.0020136
3.824955556,116.4817482,122.4757473
3.8588,116.509817,127.0261485
3.892655556,116.5279341,130.396285
3.9265,116.5252125,132.036123
3.960355556,116.4581795,131.8452084
3.9942,116.3398628,129.9975083
4.028055556,116.2624115,126.5965603
4.0619,116.2579581,121.7912039
4.095744444,116.1576281,116.1195633
4.1296,115.9731127,110.3877206
4.163444444,115.9040046,104.7340282
4.1973,115.8962489,100.0374859
4.231144444,115.9208445,96.66369972
4.265,115.9775383,94.8720497
4.298844444,115.9503606,95.04383355
4.332688889,115.996819,96.931973
4.366544444,116.2138551,100.5319766
4.400388889,116.401113,105.3946822
4.434244444,116.5223098,111.0374148
4.468088889,116.5932762,116.7885869
4.501944444,116.6676791,122.2849053
4.535788889,116.8928651,126.9387474
4.569633333,117.100178,130.2767417
4.603488889,117.0964269,131.9487679
4.637333333,117.1054326,131.8840346
4.671188889,116.9971119,130.1892237
4.705033333,117.019533,126.8139207
4.738888889,116.8126168,122.010087
4.772733333,116.5661467,116.635702
4.806588889,116.397972,110.7774898
4.840433333,116.1599484,105.2432486
4.874277778,115.9593518,100.4522783
4.908133333,115.8914971,96.90196993
4.941977778,115.7869035,94.96691304
4.975833333,115.7478546,94.98086061
5.009677778,115.8210323,96.82314321
5.043533333,115.841169,100.2264084
5.077377778,115.8827811,104.9858626
5.111222222,115.918677,110.5230704
5.145077778,115.9550547,116.4110442
5.178922222,116.0384279,121.9102973
5.212777778,116.1565722,126.7064161
5.246622222,116.3201133,130.1498836
5.280477778,116.4315164,131.8983966
5.314322222,116.4491775,131.9413737
5.348166667,116.497578,130.3612799
5.382022222,116.4924583,126.9740572
5.415866667,116.4882292,122.3719935
5.449722222,116.4886891,116.9132152
5.483566667,116.4436677,105.4389512
5.517422222,116.4651343,105.4784984
5.551266667,116.4934363,100.6527908
5.585111111,116.4579864,95.08205826
5.618966667,116.4792008,94.9723468
5.652811111,116.488331,94.99089438
5.686666667,116.5200328,96.77906665
5.720511111,116.5465426,100.0568497
5.754366667,116.568609,110.126008
5.788211111,116.6066962,116.009813
5.822055556,116.5807351,116.045573
5.855911111,116.6170099,126.3081589
5.889755556,116.5815921,129.8546728
5.923611111,116.5313676,131.8190022
5.957455556,116.5226455,131.9303562
5.991311111,116.4737774,130.4982335
6.025155556,116.3930116,127.3756607
6.059,116.1721944,122.702153
6.092855556,116.0760158,122.641896
6.1267,115.9248486,117.2274811
6.160555556,115.8324559,111.5143824
6.1944,115.6012787,100.8633732
6.228255556,115.6752274,97.15437863
6.2621,115.7437186,95.01126129
6.295944444,115.80283,94.80866712
6.3298,115.8925067,96.35862043
6.363644444,115.9548815,99.66913352
6.3975,116.0754507,104.2324063
6.431344444,116.1749993,109.6723448
6.4652,116.419896,115.5770101
6.499044444,116.5505375,121.0855209
6.532888889,116.6453057,125.9551616
6.566744444,116.7916613,129.527576
6.600588889,116.8119659,131.492642
6.634444444,116.8420575,131.6952238
6.668288889,116.7138844,130.3349131
6.702144444,116.6043767,127.3299609
6.735988889,116.5578462,122.884452
6.769833333,116.4653926,117.6219478
6.803688889,116.3915878,111.787568
6.837533333,116.2854567,106.1027061
6.871388889,116.1653857,101.2067142
6.905233333,115.9403331,97.50429962
6.939088889,115.873667,95.32591337
6.972933333,115.8452531,95.07559012
7.006777778,115.8420855,96.46540757
7.040633333,115.8357865,99.63061136
7.074477778,115.8518725,104.1053132
7.108333333,115.8742784,109.5762266
7.142177778,115.9646368,115.4032164
7.176033333,115.9466838,121.0000089
7.209877778,115.9945744,125.7976698
7.243722222,115.9937023,129.415357
7.277577778,116.0648725,131.6469611
7.311422222,116.0498038,131.9758049
7.345277778,115.9893807,130.5930266
7.379122222,115.9547465,127.6085433
7.412977778,115.9382172,123.1476275
7.446822222,115.9393462,117.8310552
7.480666667,115.9242096,112.0850922
7.514522222,115.9163092,106.3364879
7.548366667,115.8842233,101.3582725
7.582222222,115.8886228,97.5497657
7.616066667,115.9690849,95.27909134
7.649922222,116.0184327,94.78763813
7.683766667,116.0630235,96.2609727
7.717611111,116.089389,99.37722792
7.751466667,116.2444725,103.717241
7.785311111,116.4540105,109.1056749
7.819166667,116.544058,114.9176093
7.853011111,116.5805881,120.3757852
7.886866667,116.5895937,125.4870196
7.920711111,116.6270238,129.1882474
7.954555556,116.6318313,131.3431159
7.988411111,116.6163447,131.797698
8.022255556,116.5149502,130.5689238
8.056111111,116.4072536,127.798582
8.089955556,116.2966977,123.4164493
8.123811111,116.114386,118.1735162
8.157655556,115.9362284,112.4965408
8.1915,115.8176756,106.8218244
8.225355556,115.7336702,101.8416839
8.2592,115.5638836,97.96263043
8.293055556,115.4830693,95.6030386
8.3269,115.4367938,95.00445478
8.360755556,115.3739808,96.24895337
8.3946,115.4285117,99.29972156
8.428444444,115.5473588,103.6612187
8.4623,115.7405702,109.0289546
8.496144444,115.9145366,114.7401597
8.53,116.014926,120.4646513
8.563844444,116.157727,125.4652583
8.5977,116.5065192,131.4995627
8.631544444,116.5458157,131.8659915
8.665388889,116.536404,130.6730136
8.699244444,116.5401104,127.991916
8.733088889,116.5459505,123.7186951
8.766944444,116.5469827,123.7152695
8.800788889,116.4459802,112.7212282
8.834644444,116.4780118,112.6646689
8.868488889,116.2478023,102.0275814
8.902333333,116.312783,98.09315823
8.936188889,116.3318299,95.69295139
8.970033333,116.246626,95.00456422
9.003888889,116.3084221,96.17350318
9.037733333,116.3908676,96.20759765
9.071588889,116.4073923,103.3261468
9.105433333,116.4268782,108.5498127
9.139277778,116.4491921,114.3093188
9.173133333,116.4746727,119.9483037
9.206977778,116.4973377,124.9456423
9.240833333,116.526008,128.7860314
9.274677778,116.527443,131.1662084
9.308533333,116.526409,131.885747
9.342377778,116.4860378,130.8262739
9.376233333,116.4137931,128.0785007
9.410077778,116.3906259,123.9166877
9.443922222,116.4249934,123.8658553
9.477777778,116.2286824,113.0008071
9.511622222,116.1743453,107.3603796
9.545477778,116.0324354,102.1847584
9.579322222,115.9979679,98.13298724
9.613177778,116.0159286,95.61317512
9.647022222,116.0988562,94.86297855
9.680866667,116.1590109,96.06128271
9.714722222,116.2923142,98.83391509
9.748566667,116.4926392,102.9839878
9.782422222,116.5820115,108.1991096
9.816266667,116.6734491,113.8142183
9.850122222,116.7652095,119.4435937
9.883966667,116.9087843,124.4680592
9.917811111,117.0852415,128.3310259
9.951666667,117.085916,130.732189
9.985511111,117.0865782,131.4723484
10.01936667,117.0555171,130.5675337
10.05321111,117.0872064,130.57434
10.08706667,116.8096063,123.9158667
10.12091111,116.5850218,118.8935739
10.15475556,116.4394633,113.1562975
10.18861111,116.2940726,107.5209399
10.22245556,116.0494815,102.3843867
10.25631111,115.9299094,98.28716403
10.29015556,115.878006,95.64974592
10.32401111,115.8303619,94.70574638
10.35785556,115.8366077,95.73532305
10.3917,115.8338542,98.35419229
10.42555556,115.9137192,102.4848346
10.4594,115.9508317,107.6217477
10.49325556,116.0471517,113.2735048
10.5271,116.1365556,119.0551354
10.56095556,116.2354008,124.2181726
10.5948,116.4863794,128.156293
10.62864444,116.5454701,130.7139706
10.6625,116.5945693,131.6112767
10.69634444,116.5720126,130.6905118
10.7302,116.5627673,128.1908253
10.76404444,116.5735808,124.2902402
10.7979,116.5395742,119.2815746
10.83174444,116.5275588,113.5989338
10.86558889,116.4986777,107.9983278
10.89944444,116.4779689,102.9868679
10.93328889,116.4686787,98.76043294
10.96714444,116.4780844,96.05620478
11.00098889,116.4872521,95.09065554
11.03484444,116.4967549,96.04551469
11.06868889,116.5078493,98.67980956
11.10253333,116.5025801,102.6015798
11.13638889,116.5394072,107.6362856
11.17023333,116.5395019,113.2282291
11.20408889,116.5633974,118.8966208
11.23793333,116.5605851,123.937257
11.27178889,116.5684133,128.0169423
11.30563333,116.5687073,130.6509861
11.33947778,116.5329196,131.6372425
11.37333333,116.4952011,131.017718
11.40717778,116.4408141,128.6323398
11.44103333,116.3348107,124.7833891
11.47487778,116.184045,119.8182108
11.50873333,115.9744099,114.2688163
11.54257778,115.8965648,108.5247794
11.57642222,115.8538468,103.2350212
11.61027778,115.8496467,99.02060439
11.64412222,115.8631496,96.19579226
11.67797778,115.8719124,95.11985063
11.71182222,115.9524522,95.79349853
11.74567778,116.0239405,98.28537609
11.77952222,116.1363063,102.2204247
11.81336667,116.3693843,107.3747866
11.84722222,116.5215126,112.9614406
11.88106667,116.6275897,118.6526994
11.91492222,116.7518246,123.7077517
11.94876667,116.9313172,127.8655584
11.98262222,117.0728863,130.6016324
12.01646667,117.109235,131.6576514
12.05031111,117.117178,131.0651985
12.08416667,117.0884529,128.7430509
12.11801111,117.0192038,124.9554776
12.15186667,116.9095201,119.9732219
12.18571111,116.7614703,114.4354135
12.21956667,116.5673921,108.7594839
12.25341111,116.4782395,103.6502669
12.28725556,116.3580333,99.41355565
12.32111111,116.1804341,96.44087018
12.35495556,115.978952,95.79701893
12.38881111,115.9559417,95.7249991
12.42265556,115.9301394,101.9449563
12.45651111,115.9234914,101.9245497
12.49035556,116.0143708,112.4576705
12.5242,115.9828137,112.4664309
12.55805556,116.1394711,123.4356664
12.5919,116.2093907,127.6616341
12.62575556,116.204244,130.4599664
12.6596,116.2170836,131.6926856
12.69345556,116.105018,131.1953027
12.7273,116.0258376,128.8392948
12.76114444,116.0063987,125.0774426
12.795,115.9857018,125.0451322
12.82884444,115.9916959,114.5718141
12.8627,115.9384872,108.9612098
12.89654444,115.9068945,103.6590817
12.9304,115.9182977,99.38485377
12.96424444,115.9505773,96.4398485
12.99808889,116.001655,95.09413727
13.03194444,116.0192808,95.63689202
13.06578889,116.0123949,98.04486319
13.09964444,116.0817497,101.7913635
13.13348889,116.2070538,106.7488155
13.16734444,116.2550915,112.1457699
13.20118889,116.3885292,117.8222076
13.23503333,116.5199678,123.065642
13.26888889,116.5431511,127.316803
13.30273333,116.557249,130.2801625
13.33658889,116.575048,131.612704
13.37043333,116.47842,131.2630679
13.40428889,116.436117,129.1540359
13.43813333,116.3097322,125.5284185
13.47197778,116.1585515,120.671551
13.50583333,115.9704562,115.2972458
13.53967778,115.8545996,109.490129
13.57353333,115.7660173,104.2540619
13.60737778,115.6369911,99.84868186
13.64123333,115.7832615,96.82306258
13.67507778,115.7753259,95.46553038
13.70892222,115.8289019,95.83182564
13.74277778,115.8872534,98.09571554
13.77662222,115.961269,101.8171614
13.81047778,116.1346573,106.7030659
13.84432222,116.221717,112.1373011
13.87817778,116.4729146,117.785127
13.91202222,116.5689218,123.0407285
13.94587778,116.7167446,127.3379699
13.97972222,116.9111561,130.3907036
14.01356667,117.0592255,131.7211232
14.04742222,117.0756547,131.3756103
14.08126667,117.0945064,129.3023907
14.11512222,117.0906977,125.6644793
14.14896667,117.0516156,121.0447247
14.18282222,116.9949907,115.4709153
14.21666667,116.8378971,109.8936549
14.25051111,116.5781566,104.4905358
14.28436667,116.5221013,100.1195031
14.31821111,116.4630596,96.98606975
14.35206667,116.3766026,95.51701338
14.38591111,116.3835549,95.77639054
14.41976667,116.4182064,97.97533257
14.45361111,116.4057955,101.5515244
14.48745556,116.4472493,106.2862435
14.52131111,116.4818995,111.7724574
14.55515556,116.5135344,117.3807751
14.58901111,116.5167302,122.5941357
14.62285556,116.562621,126.9195254
14.65671111,116.5678224,130.0074837
14.69055556,116.5682921,131.4650593
14.7244,116.554543,131.158068
14.75825556,116.5314872,129.2674389
14.7921,116.5031836,125.7281054
14.82595556,116.429869,121.0568551
14.8598,116.423691,115.6573485
14.89365556,116.4015702,109.972174
14.9275,116.3890826,104.6109053
14.96134444,116.4427208,100.0870791
14.9952,116.4528033,96.90431974
15.02904444,116.4432661,95.393661
15.0629,116.5570025,95.67028266
15.09674444,116.5701498,97.61369148
15.1306,116.6344653,101.1717415
15.16444444,116.7196134,105.8258494
15.19828889,116.7542725,111.2178779
15.23214444,116.9085715,116.8334528
15.26598889,117.0306818,122.0913866
